Date,Close
"Dec 04, 2019",15.28
"Dec 03, 2019",15.31
"Dec 02, 2019",15.19
"Dec 01, 2019",15.50
"Nov 30, 2019",15.72
"Nov 29, 2019",16.27
"Nov 28, 2019",15.68
"Nov 27, 2019",16.10
"Nov 26, 2019",15.53
"Nov 25, 2019",15.27
"Nov 24, 2019",15.28
"Nov 23, 2019",16.42
"Nov 22, 2019",15.58
"Nov 21, 2019",16.84
"Nov 20, 2019",18.17
"Nov 19, 2019",18.70
"Nov 18, 2019",19.32
"Nov 17, 2019",20.26
"Nov 16, 2019",20.28
"Nov 15, 2019",20.32
"Nov 14, 2019",21.26
"Nov 13, 2019",21.25
"Nov 12, 2019",20.86
"Nov 11, 2019",20.13
"Nov 10, 2019",20.48
"Nov 09, 2019",19.74
"Nov 08, 2019",19.69
"Nov 07, 2019",20.65
"Nov 06, 2019",20.82
"Nov 05, 2019",20.72
"Nov 04, 2019",20.74
"Nov 03, 2019",20.21
"Nov 02, 2019",20.27
"Nov 01, 2019",20.02
"Oct 31, 2019",20.00
"Oct 30, 2019",20.09
"Oct 29, 2019",20.48
"Oct 28, 2019",19.76
"Oct 27, 2019",19.35
"Oct 26, 2019",18.89
"Oct 25, 2019",18.62
"Oct 24, 2019",16.89
"Oct 23, 2019",16.71
"Oct 22, 2019",18.20
"Oct 21, 2019",18.31
"Oct 20, 2019",18.44
"Oct 19, 2019",18.29
"Oct 18, 2019",18.25
"Oct 17, 2019",18.57
"Oct 16, 2019",17.84
"Oct 15, 2019",18.54
"Oct 14, 2019",18.46
"Oct 13, 2019",18.31
"Oct 12, 2019",17.28
"Oct 11, 2019",16.71
"Oct 10, 2019",17.57
"Oct 09, 2019",17.81
"Oct 08, 2019",16.11
"Oct 07, 2019",16.13
"Oct 06, 2019",15.35
"Oct 05, 2019",15.72
"Oct 04, 2019",15.76
"Oct 03, 2019",15.73
"Oct 02, 2019",15.95
"Oct 01, 2019",15.90
"Sep 30, 2019",15.86
"Sep 29, 2019",15.31
"Sep 28, 2019",15.85
"Sep 27, 2019",15.79
"Sep 26, 2019",15.46
"Sep 25, 2019",16.26
"Sep 24, 2019",16.07
"Sep 23, 2019",19.49
"Sep 22, 2019",20.53
"Sep 21, 2019",21.08
"Sep 20, 2019",21.37
"Sep 19, 2019",21.61
"Sep 18, 2019",22.26
"Sep 17, 2019",21.01
"Sep 16, 2019",20.40
"Sep 15, 2019",20.60
"Sep 14, 2019",21.07
"Sep 13, 2019",20.89
"Sep 12, 2019",20.92
"Sep 11, 2019",20.90
"Sep 10, 2019",21.91
"Sep 09, 2019",22.29
"Sep 08, 2019",22.56
"Sep 07, 2019",22.55
"Sep 06, 2019",22.15
"Sep 05, 2019",22.76
"Sep 04, 2019",21.80
"Sep 03, 2019",22.51
"Sep 02, 2019",22.77
"Sep 01, 2019",21.57
"Aug 31, 2019",21.27
"Aug 30, 2019",22.22
"Aug 29, 2019",21.89
"Aug 28, 2019",23.70
"Aug 27, 2019",25.69
"Aug 26, 2019",26.11
"Aug 25, 2019",26.13
"Aug 24, 2019",26.50
"Aug 23, 2019",27.17
"Aug 22, 2019",27.09
"Aug 21, 2019",26.99
"Aug 20, 2019",28.17
"Aug 19, 2019",28.81
"Aug 18, 2019",27.93
"Aug 17, 2019",27.48
"Aug 16, 2019",27.64
"Aug 15, 2019",28.04
"Aug 14, 2019",27.11
"Aug 13, 2019",29.47
"Aug 12, 2019",30.17
"Aug 11, 2019",30.06
"Aug 10, 2019",29.68
"Aug 09, 2019",29.96
"Aug 08, 2019",30.83
"Aug 07, 2019",29.35
"Aug 06, 2019",27.64
"Aug 05, 2019",28.01
"Aug 04, 2019",27.56
"Aug 03, 2019",27.89
"Aug 02, 2019",28.04
"Aug 01, 2019",28.77
"Jul 31, 2019",27.64
"Jul 30, 2019",26.94
"Jul 29, 2019",27.20
"Jul 28, 2019",27.84
"Jul 27, 2019",27.89
"Jul 26, 2019",28.98
"Jul 25, 2019",29.00
"Jul 24, 2019",29.16
"Jul 23, 2019",29.59
"Jul 22, 2019",30.63
"Jul 21, 2019",30.52
"Jul 20, 2019",30.87
"Jul 19, 2019",29.08
"Jul 18, 2019",28.92
"Jul 17, 2019",27.22
"Jul 16, 2019",25.53
"Jul 15, 2019",28.39
"Jul 14, 2019",28.92
"Jul 13, 2019",31.51
"Jul 12, 2019",31.69
"Jul 11, 2019",29.64
"Jul 10, 2019",31.48
"Jul 09, 2019",32.71
"Jul 08, 2019",33.47
"Jul 07, 2019",33.24
"Jul 06, 2019",32.53
"Jul 05, 2019",32.71
"Jul 04, 2019",32.89
"Jul 03, 2019",32.67
"Jul 02, 2019",32.01
