Date,Close
"Dec 04, 2019",209.29
"Dec 03, 2019",212.86
"Dec 02, 2019",215.66
"Dec 01, 2019",216.17
"Nov 30, 2019",218.91
"Nov 29, 2019",224.81
"Nov 28, 2019",218.74
"Nov 27, 2019",220.41
"Nov 26, 2019",212.93
"Nov 25, 2019",209.24
"Nov 24, 2019",205.15
"Nov 23, 2019",217.34
"Nov 22, 2019",208.93
"Nov 21, 2019",226.60
"Nov 20, 2019",244.24
"Nov 19, 2019",244.41
"Nov 18, 2019",250.18
"Nov 17, 2019",268.74
"Nov 16, 2019",267.70
"Nov 15, 2019",264.71
"Nov 14, 2019",279.56
"Nov 13, 2019",286.49
"Nov 12, 2019",289.24
"Nov 11, 2019",287.16
"Nov 10, 2019",293.48
"Nov 09, 2019",282.74
"Nov 08, 2019",277.98
"Nov 07, 2019",293.50
"Nov 06, 2019",306.23
"Nov 05, 2019",293.71
"Nov 04, 2019",291.85
"Nov 03, 2019",292.71
"Nov 02, 2019",290.72
"Nov 01, 2019",279.14
"Oct 31, 2019",284.48
"Oct 30, 2019",290.63
"Oct 29, 2019",288.96
"Oct 28, 2019",265.41
"Oct 27, 2019",261.25
"Oct 26, 2019",252.51
"Oct 25, 2019",259.17
"Oct 24, 2019",214.05
"Oct 23, 2019",210.38
"Oct 22, 2019",228.04
"Oct 21, 2019",233.26
"Oct 20, 2019",224.93
"Oct 19, 2019",213.98
"Oct 18, 2019",212.65
"Oct 17, 2019",221.43
"Oct 16, 2019",218.20
"Oct 15, 2019",222.83
"Oct 14, 2019",228.59
"Oct 13, 2019",224.12
"Oct 12, 2019",225.10
"Oct 11, 2019",222.59
"Oct 10, 2019",230.11
"Oct 09, 2019",239.44
"Oct 08, 2019",232.36
"Oct 07, 2019",234.24
"Oct 06, 2019",223.41
"Oct 05, 2019",223.17
"Oct 04, 2019",223.25
"Oct 03, 2019",222.58
"Oct 02, 2019",225.89
"Oct 01, 2019",224.76
"Sep 30, 2019",228.12
"Sep 29, 2019",220.43
"Sep 28, 2019",228.83
"Sep 27, 2019",222.56
"Sep 26, 2019",216.20
"Sep 25, 2019",229.41
"Sep 24, 2019",222.35
"Sep 23, 2019",293.07
"Sep 22, 2019",308.30
"Sep 21, 2019",312.48
"Sep 20, 2019",315.37
"Sep 19, 2019",323.70
"Sep 18, 2019",324.72
"Sep 17, 2019",319.50
"Sep 16, 2019",307.53
"Sep 15, 2019",304.23
"Sep 14, 2019",304.69
"Sep 13, 2019",298.26
"Sep 12, 2019",300.42
"Sep 11, 2019",299.81
"Sep 10, 2019",304.13
"Sep 09, 2019",305.43
"Sep 08, 2019",307.01
"Sep 07, 2019",301.15
"Sep 06, 2019",287.45
"Sep 05, 2019",292.90
"Sep 04, 2019",295.30
"Sep 03, 2019",300.86
"Sep 02, 2019",294.08
"Sep 01, 2019",282.33
"Aug 31, 2019",279.94
"Aug 30, 2019",279.87
"Aug 29, 2019",280.74
"Aug 28, 2019",292.19
"Aug 27, 2019",308.04
"Aug 26, 2019",311.12
"Aug 25, 2019",305.60
"Aug 24, 2019",307.65
"Aug 23, 2019",316.83
"Aug 22, 2019",311.33
"Aug 21, 2019",302.99
"Aug 20, 2019",316.25
"Aug 19, 2019",325.61
"Aug 18, 2019",316.51
"Aug 17, 2019",307.28
"Aug 16, 2019",310.45
"Aug 15, 2019",314.58
"Aug 14, 2019",311.50
"Aug 13, 2019",343.68
"Aug 12, 2019",330.23
"Aug 11, 2019",336.20
"Aug 10, 2019",315.99
"Aug 09, 2019",316.62
"Aug 08, 2019",333.73
"Aug 07, 2019",339.61
"Aug 06, 2019",333.58
"Aug 05, 2019",346.76
"Aug 04, 2019",333.67
"Aug 03, 2019",332.75
"Aug 02, 2019",326.82
"Aug 01, 2019",328.76
"Jul 31, 2019",326.57
"Jul 30, 2019",315.93
"Jul 29, 2019",307.92
"Jul 28, 2019",310.46
"Jul 27, 2019",306.64
"Jul 26, 2019",316.04
"Jul 25, 2019",302.95
"Jul 24, 2019",302.85
"Jul 23, 2019",298.58
"Jul 22, 2019",310.59
"Jul 21, 2019",320.86
"Jul 20, 2019",324.20
"Jul 19, 2019",308.03
"Jul 18, 2019",315.09
"Jul 17, 2019",291.54
"Jul 16, 2019",281.71
"Jul 15, 2019",314.74
"Jul 14, 2019",282.84
"Jul 13, 2019",344.95
"Jul 12, 2019",354.46
"Jul 11, 2019",345.88
"Jul 10, 2019",390.24
"Jul 09, 2019",416.08
"Jul 08, 2019",418.63
"Jul 07, 2019",411.81
"Jul 06, 2019",405.47
"Jul 05, 2019",400.51
"Jul 04, 2019",401.69
"Jul 03, 2019",422.61
"Jul 02, 2019",407.89
"Jul 01, 2019",416.65
"Jun 30, 2019",399.47
"Jun 29, 2019",442.72
"Jun 28, 2019",436.80
"Jun 27, 2019",413.27
"Jun 26, 2019",485.57
"Jun 25, 2019",479.81
"Jun 24, 2019",476.25
"Jun 23, 2019",475.02
"Jun 22, 2019",480.17
"Jun 21, 2019",439.45
"Jun 20, 2019",413.56
"Jun 19, 2019",416.91
"Jun 18, 2019",413.94
"Jun 17, 2019",432.52
"Jun 16, 2019",428.32
"Jun 15, 2019",422.83
"Jun 14, 2019",421.29
"Jun 13, 2019",411.94
"Jun 12, 2019",396.38
"Jun 11, 2019",387.91
"Jun 10, 2019",394.58
"Jun 09, 2019",381.17
"Jun 08, 2019",394.24
"Jun 07, 2019",401.43
"Jun 06, 2019",396.93
"Jun 05, 2019",398.38
"Jun 04, 2019",382.66
"Jun 03, 2019",408.66
"Jun 02, 2019",443.77
"Jun 01, 2019",434.46
"May 31, 2019",445.07
"May 30, 2019",424.62
"May 29, 2019",454.12
"May 28, 2019",435.00
"May 27, 2019",443.80
"May 26, 2019",432.84
"May 25, 2019",406.74
"May 24, 2019",409.05
"May 23, 2019",405.84
"May 22, 2019",392.51
"May 21, 2019",417.55
"May 20, 2019",412.81
"May 19, 2019",421.49
"May 18, 2019",357.62
"May 17, 2019",364.85
"May 16, 2019",398.70
"May 15, 2019",402.93
